1000	1000
0	507	0	493	1000	493	1000	507
221	398	221	408	261	408	261	398	50
780	443	780	453	820	453	820	443	100
783	7	783	17	823	17	823	7	150
462	607	462	617	502	617	502	607	50
302	962	302	972	342	972	342	962	30
879	415	879	425	919	425	919	415	100
923	692	923	702	963	702	963	692	30
76	931	76	941	116	941	116	931	200
415	561	415	571	455	571	455	561	50
125	782	125	792	165	792	165	782	50
507	83	507	93	547	93	547	83	100
381	546	381	556	421	556	421	546	100
235	27	235	37	275	37	275	27	100
454	340	454	350	494	350	494	340	50
784	579	784	589	824	589	824	579	50
195	759	195	769	235	769	235	759	100
123	78	123	88	163	88	163	78	50
920	602	920	612	960	612	960	602	50
293	147	293	157	333	157	333	147	200
727	67	727	77	767	77	767	67	30
216	918	216	928	256	928	256	918	30
617	884	617	894	657	894	657	884	200
164	871	164	881	204	881	204	871	100
536	463	536	473	576	473	576	463	30
904	114	904	124	944	124	944	114	50
68	534	68	544	108	544	108	534	30
692	982	692	992	732	992	732	982	100
892	371	892	381	932	381	932	371	30
693	7	693	17	733	17	733	7	250
329	104	329	114	369	114	369	104	100
864	136	864	146	904	146	904	136	200
457	132	457	142	497	142	497	132	50
263	911	263	921	303	921	303	911	100
481	198	481	208	521	208	521	198	30
85	5	85	15	125	15	125	5	150
728	441	728	451	768	451	768	441	30
85	819	85	829	125	829	125	819	150
50	295	50	305	90	305	90	295	50
323	943	323	953	363	953	363	943	30
830	797	830	807	870	807	870	797	50
169	688	169	698	209	698	209	688	150
96	976	96	986	136	986	136	976	250
122	312	122	322	162	322	162	312	250
598	554	598	564	638	564	638	554	100
90	647	90	657	130	657	130	647	50
828	922	828	932	868	932	868	922	30
260	664	260	674	300	674	300	664	150
726	567	726	577	766	577	766	567	200
342	857	342	867	382	867	382	857	150
392	633	392	643	432	643	432	633	150
663	651	663	661	703	661	703	651	150
244	950	244	960	284	960	284	950	30
146	851	146	861	186	861	186	851	100
227	795	227	805	267	805	267	795	100
949	808	949	818	989	818	989	808	30
668	882	668	892	708	892	708	882	30
101	360	101	370	141	370	141	360	200
865	455	865	465	905	465	905	455	250
720	315	720	325	760	325	760	315	200
63	71	63	81	103	81	103	71	50
358	679	358	689	398	689	398	679	200
56	722	56	732	96	732	96	722	30
794	512	794	522	834	522	834	512	200
74	124	74	134	114	134	114	124	100
570	421	570	431	610	431	610	421	30
889	24	889	34	929	34	929	24	200
26	853	26	863	66	863	66	853	30
763	475	763	485	803	485	803	475	250
442	545	442	555	482	555	482	545	100
664	327	664	337	704	337	704	327	100
848	678	848	688	888	688	888	678	50
350	648	350	658	390	658	390	648	250
936	957	936	967	976	967	976	957	250
0	412	0	422	40	422	40	412	100
436	705	436	715	476	715	476	705	150
591	92	591	102	631	102	631	92	250
640	684	640	694	680	694	680	684	200
693	155	693	165	733	165	733	155	250
849	616	849	626	889	626	889	616	200
393	930	393	940	433	940	433	930	30
401	218	401	228	441	228	441	218	200
874	98	874	108	914	108	914	98	150
639	597	639	607	679	607	679	597	200
11	978	11	988	51	988	51	978	250
88	261	88	271	128	271	128	261	50
798	223	798	233	838	233	838	223	50
130	59	130	69	170	69	170	59	30
638	909	638	919	678	919	678	909	30
864	273	864	283	904	283	904	273	30
547	236	547	246	587	246	587	236	100
747	612	747	622	787	622	787	612	50
445	260	445	270	485	270	485	260	30
273	409	273	419	313	419	313	409	250
710	693	710	703	750	703	750	693	100
520	481	520	491	560	491	560	481	150
934	305	934	315	974	315	974	305	150
232	43	232	53	272	53	272	43	30
260	467	260	477	300	477	300	467	200
778	75	778	85	818	85	818	75	100
556	538	556	548	596	548	596	538	50
323	814	323	824	363	824	363	814	30
325	776	325	786	365	786	365	776	200
163	476	163	486	203	486	203	476	30
890	647	890	657	930	657	930	647	150
126	375	126	385	166	385	166	375	250
195	195	195	205	235	205	235	195	200
796	885	796	895	836	895	836	885	100
63	470	63	480	103	480	103	470	50
475	1	475	11	515	11	515	1	200
673	725	673	735	713	735	713	725	200
948	436	948	446	988	446	988	436	50
563	269	563	279	603	279	603	269	250
499	150	499	160	539	160	539	150	30
281	795	281	805	321	805	321	795	150
194	387	194	397	234	397	234	387	30
298	977	298	987	338	987	338	977	30
492	908	492	918	532	918	532	908	50
753	411	753	421	793	421	793	411	100
652	629	652	639	692	639	692	629	200
187	426	187	436	227	436	227	426	100
96	800	96	810	136	810	136	800	150
267	217	267	227	307	227	307	217	30
477	15	477	25	517	25	517	15	100
658	138	658	148	698	148	698	138	200
842	469	842	479	882	479	882	469	50
67	99	67	109	107	109	107	99	30
450	39	450	49	490	49	490	39	250
658	347	658	357	698	357	698	347	150
812	941	812	951	852	951	852	941	30
232	707	232	717	272	717	272	707	200
951	895	951	905	991	905	991	895	250
937	790	937	800	977	800	977	790	200
472	737	472	747	512	747	512	737	30
603	349	603	359	643	359	643	349	50
208	235	208	245	248	245	248	235	150
168	542	168	552	208	552	208	542	150
124	289	124	299	164	299	164	289	200
208	528	208	538	248	538	248	528	100
576	45	576	55	616	55	616	45	150
886	544	886	554	926	554	926	544	100
469	422	469	432	509	432	509	422	250
40	450	40	460	80	460	80	450	250
102	403	102	413	142	413	142	403	250
883	803	883	813	923	813	923	803	30
309	191	309	201	349	201	349	191	30
611	866	611	876	651	876	651	866	50
7	171	7	181	47	181	47	171	50
306	721	306	731	346	731	346	721	150
12	754	12	764	52	764	52	754	250
496	312	496	322	536	322	536	312	150
600	292	600	302	640	302	640	292	150
930	561	930	571	970	571	970	561	100
53	247	53	257	93	257	93	247	150
179	583	179	593	219	593	219	583	30
936	134	936	144	976	144	976	134	200
718	378	718	388	758	388	758	378	50
572	806	572	816	612	816	612	806	100
358	295	358	305	398	305	398	295	100
773	378	773	388	813	388	813	378	100
183	12	183	22	223	22	223	12	200
856	251	856	261	896	261	896	251	250
290	866	290	876	330	876	330	866	30
504	882	504	892	544	892	544	882	150
754	891	754	901	794	901	794	891	50
196	822	196	832	236	832	236	822	200
774	746	774	756	814	756	814	746	100
15	818	15	828	55	828	55	818	150
184	516	184	526	224	526	224	516	30
277	742	277	752	317	752	317	742	150
349	329	349	339	389	339	389	329	200
259	850	259	860	299	860	299	850	150
840	775	840	785	880	785	880	775	100
858	402	858	412	898	412	898	402	150
373	389	373	399	413	399	413	389	30
776	237	776	247	816	247	816	237	100
249	14	249	24	289	24	289	14	200
124	567	124	577	164	577	164	567	250
2	660	2	670	42	670	42	660	30
136	901	136	911	176	911	176	901	200
493	810	493	820	533	820	533	810	150
426	860	426	870	466	870	466	860	100
789	259	789	269	829	269	829	259	250
748	424	748	434	788	434	788	424	250
206	565	206	575	246	575	246	565	250
399	459	399	469	439	469	439	459	30
797	630	797	640	837	640	837	630	150
870	213	870	223	910	223	910	213	30
330	562	330	572	370	572	370	562	200
392	976	392	986	432	986	432	976	150
451	838	451	848	491	848	491	838	100
696	85	696	95	736	95	736	85	250
196	956	196	966	236	966	236	956	30
125	30	125	40	165	40	165	30	150
451	575	451	585	491	585	491	575	50
386	411	386	421	426	421	426	411	30
306	537	306	547	346	547	346	537	50
417	235	417	245	457	245	457	235	100
285	384	285	394	325	394	325	384	250
778	708	778	718	818	718	818	708	250
246	115	246	125	286	125	286	115	150
748	726	748	736	788	736	788	726	50
162	739	162	749	202	749	202	739	100
384	808	384	818	424	818	424	808	100
875	338	875	348	915	348	915	338	30
426	651	426	661	466	661	466	651	150
268	618	268	628	308	628	308	618	30
81	519	81	529	121	529	121	519	50
664	568	664	578	704	578	704	568	100
394	442	394	452	434	452	434	442	250
583	769	583	779	623	779	623	769	150
603	614	603	624	643	624	643	614	50
36	8	36	18	76	18	76	8	200
542	651	542	661	582	661	582	651	30
380	366	380	376	420	376	420	366	100
192	212	192	222	232	222	232	212	150
367	514	367	524	407	524	407	514	150
349	476	349	486	389	486	389	476	250
885	173	885	183	925	183	925	173	200
299	692	299	702	339	702	339	692	200
570	751	570	761	610	761	610	751	250
764	195	764	205	804	205	804	195	100
469	987	469	997	509	997	509	987	100
